NO_OF_FRAMES	3915
NO_OF_CAMERAS	20
NO_OF_BODIES	1
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2021-01-29, 17:17:45.381	3507.33998200
DATA_INCLUDED	6D
BODY_NAMES	Tiago_Base
BODY_FILTERS	No filter
Frame	Time	Tiago_Base X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1	0.00000	572.69441	182.62393	287.61425	0.33577	-0.25198	35.83910	0.35033	0.81066	0.58548	0.00700	-0.58551	0.81067	0.00218	-0.00440	-0.00586	0.99997	
2	0.01000	572.67603	182.63811	287.63697	0.33806	-0.25033	36.00711	0.36108	0.80894	0.58785	0.00700	-0.58788	0.80895	0.00220	-0.00437	-0.00590	0.99997	
3	0.02000	572.66985	182.65760	287.63323	0.32997	-0.24776	36.17770	0.34648	0.80718	0.59026	0.00689	-0.59029	0.80719	0.00210	-0.00432	-0.00576	0.99997	
4	0.03000	572.65781	182.72338	287.59308	0.33665	-0.24816	36.34775	0.34623	0.80543	0.59265	0.00697	-0.59268	0.80544	0.00217	-0.00433	-0.00588	0.99997	
5	0.04000	572.67097	182.68887	287.63278	0.32196	-0.24591	36.52003	0.31071	0.80364	0.59508	0.00679	-0.59510	0.80365	0.00196	-0.00429	-0.00562	0.99998	
6	0.05000	572.71172	182.73287	287.55545	0.34097	-0.26133	36.69432	0.26979	0.80183	0.59751	0.00721	-0.59754	0.80184	0.00205	-0.00456	-0.00595	0.99997	
7	0.06000	572.61550	182.16583	287.66844	0.35989	-0.29562	36.81623	0.23727	0.80055	0.59921	0.00789	-0.59924	0.80057	0.00194	-0.00516	-0.00628	0.99997	
8	0.07000	572.63535	182.30583	287.61898	0.33206	-0.28933	36.99263	0.36232	0.79870	0.60168	0.00752	-0.60170	0.79872	0.00159	-0.00505	-0.00580	0.99997	
9	0.08000	572.61064	182.38644	287.58394	0.35052	-0.27419	37.16759	0.26457	0.79686	0.60411	0.00751	-0.60414	0.79687	0.00198	-0.00479	-0.00612	0.99997	
10	0.09000	572.63320	182.43254	287.59493	0.34886	-0.26970	37.33561	0.26498	0.79509	0.60645	0.00744	-0.60648	0.79510	0.00199	-0.00471	-0.00609	0.99997	
11	0.10000	572.60826	182.59819	287.60768	0.34747	-0.27597	37.48623	0.19084	0.79349	0.60854	0.00751	-0.60856	0.79350	0.00188	-0.00482	-0.00606	0.99997	
12	0.11000	572.61880	182.63010	287.58820	0.35076	-0.27770	37.65936	0.20065	0.79165	0.61093	0.00758	-0.61096	0.79166	0.00189	-0.00485	-0.00612	0.99997	
13	0.12000	572.62797	182.66217	287.58787	0.34928	-0.27819	37.82561	0.20038	0.78987	0.61323	0.00757	-0.61325	0.78988	0.00184	-0.00486	-0.00610	0.99997	
14	0.13000	572.62395	182.71332	287.59247	0.36141	-0.27524	38.00145	0.19316	0.78799	0.61565	0.00767	-0.61567	0.78800	0.00201	-0.00480	-0.00631	0.99997	
15	0.14000	572.58428	182.76205	287.59399	0.36125	-0.26851	38.17654	0.19252	0.78610	0.61805	0.00758	-0.61808	0.78611	0.00206	-0.00469	-0.00630	0.99997	
16	0.15000	572.56891	182.79292	287.59509	0.36578	-0.26647	38.34722	0.17966	0.78426	0.62039	0.00761	-0.62042	0.78427	0.00212	-0.00465	-0.00638	0.99997	
17	0.16000	572.54563	182.80858	287.59089	0.37428	-0.26526	38.52802	0.18427	0.78230	0.62286	0.00769	-0.62289	0.78231	0.00223	-0.00463	-0.00653	0.99997	
18	0.17000	572.55559	182.84336	287.61046	0.37330	-0.26064	38.70662	0.18541	0.78035	0.62530	0.00762	-0.62533	0.78036	0.00224	-0.00455	-0.00652	0.99997	
19	0.18000	572.57417	182.89572	287.59495	0.36934	-0.26921	38.88305	0.19981	0.77842	0.62770	0.00770	-0.62773	0.77843	0.00207	-0.00470	-0.00645	0.99997	
20	0.19000	572.58435	182.95024	287.60340	0.37048	-0.27206	39.05298	0.21844	0.77655	0.63000	0.00776	-0.63003	0.77657	0.00203	-0.00475	-0.00647	0.99997	
21	0.20000	572.61891	183.06308	287.60092	0.37583	-0.27480	39.22405	0.32093	0.77467	0.63232	0.00786	-0.63235	0.77468	0.00205	-0.00480	-0.00656	0.99997	
22	0.21000	572.60688	183.06986	287.60119	0.37437	-0.27317	39.39275	0.29837	0.77281	0.63460	0.00783	-0.63463	0.77282	0.00202	-0.00477	-0.00653	0.99997	
23	0.22000	572.60669	183.07746	287.58658	0.38124	-0.27065	39.56995	0.25910	0.77084	0.63698	0.00788	-0.63701	0.77085	0.00212	-0.00472	-0.00665	0.99997	
24	0.23000	572.60179	183.12586	287.58821	0.38662	-0.27023	39.74479	0.24247	0.76889	0.63933	0.00794	-0.63936	0.76890	0.00217	-0.00472	-0.00675	0.99997	
25	0.24000	572.61481	183.14996	287.59297	0.38589	-0.27263	39.91296	0.24234	0.76701	0.64158	0.00797	-0.64162	0.76702	0.00211	-0.00476	-0.00673	0.99997	
26	0.25000	572.62118	183.21015	287.56970	0.40376	-0.26320	40.09348	0.24032	0.76499	0.64400	0.00805	-0.64403	0.76500	0.00243	-0.00459	-0.00705	0.99996	
27	0.26000	572.61669	183.25220	287.56484	0.40454	-0.26619	40.27461	0.25164	0.76295	0.64641	0.00811	-0.64644	0.76296	0.00238	-0.00465	-0.00706	0.99996	
28	0.27000	572.59050	183.28239	287.56020	0.40033	-0.25339	40.43987	0.24632	0.76108	0.64861	0.00790	-0.64864	0.76109	0.00245	-0.00442	-0.00699	0.99997	
29	0.28000	572.59506	183.31616	287.57217	0.40014	-0.25276	40.60913	0.23609	0.75916	0.65086	0.00789	-0.65089	0.75917	0.00243	-0.00441	-0.00698	0.99997	
30	0.29000	572.58694	183.35086	287.58405	0.39828	-0.24643	40.77937	0.23038	0.75722	0.65311	0.00780	-0.65314	0.75723	0.00245	-0.00430	-0.00695	0.99997	
31	0.30000	572.61354	183.40168	287.60441	0.40636	-0.24824	40.95150	0.23224	0.75526	0.65538	0.00792	-0.65541	0.75527	0.00252	-0.00433	-0.00709	0.99997	
32	0.31000	572.61414	183.42961	287.60776	0.41219	-0.25107	41.12124	0.23082	0.75331	0.65761	0.00803	-0.65765	0.75332	0.00254	-0.00438	-0.00719	0.99996	
33	0.32000	572.62631	183.46282	287.57718	0.40019	-0.24813	41.29471	0.22903	0.75132	0.65989	0.00786	-0.65993	0.75133	0.00239	-0.00433	-0.00698	0.99997	
34	0.33000	572.62055	183.49062	287.57736	0.40133	-0.24621	41.47131	0.23331	0.74928	0.66221	0.00786	-0.66224	0.74929	0.00240	-0.00430	-0.00700	0.99997	
35	0.34000	572.60802	183.54002	287.56847	0.40375	-0.24546	41.64842	0.22267	0.74723	0.66452	0.00788	-0.66455	0.74724	0.00242	-0.00428	-0.00705	0.99997	
36	0.35000	572.60887	183.55833	287.57977	0.41165	-0.24873	41.81100	0.21434	0.74534	0.66664	0.00803	-0.66667	0.74535	0.00246	-0.00434	-0.00718	0.99996	
37	0.36000	572.62310	183.60676	287.57385	0.42098	-0.25437	41.98843	0.21285	0.74327	0.66894	0.00821	-0.66897	0.74328	0.00249	-0.00444	-0.00735	0.99996	
38	0.37000	572.61693	183.61334	287.57636	0.42231	-0.25907	42.17321	0.21362	0.74111	0.67133	0.00830	-0.67137	0.74112	0.00243	-0.00452	-0.00737	0.99996	
39	0.38000	572.62185	183.64960	287.55750	0.41649	-0.25813	42.34866	0.21909	0.73905	0.67360	0.00823	-0.67363	0.73906	0.00234	-0.00451	-0.00727	0.99996	
40	0.39000	572.62570	183.67167	287.56809	0.41846	-0.25544	42.52198	0.22173	0.73701	0.67583	0.00822	-0.67587	0.73702	0.00237	-0.00446	-0.00730	0.99996	
