NO_OF_FRAMES	4173
NO_OF_CAMERAS	20
NO_OF_BODIES	1
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2021-01-29, 17:28:50.920	4172.87836570
DATA_INCLUDED	6D
BODY_NAMES	Tiago_Base
BODY_FILTERS	No filter
Frame	Time	Tiago_Base X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1	0.00000	339.21694	-485.59309	285.52566	0.51391	-0.48042	16.21605	0.17868	0.96018	0.27918	0.01056	-0.27925	0.96020	0.00627	-0.00838	-0.00897	0.99992	
2	0.01000	339.49591	-486.56219	285.51342	0.51544	-0.48085	16.38177	0.17198	0.95937	0.28195	0.01059	-0.28203	0.95939	0.00626	-0.00839	-0.00900	0.99992	
3	0.02000	339.78108	-487.48516	285.51979	0.52255	-0.48508	16.54070	0.19253	0.95858	0.28461	0.01071	-0.28469	0.95860	0.00633	-0.00847	-0.00912	0.99992	
4	0.03000	340.06697	-488.39813	285.54482	0.53089	-0.50061	16.70370	0.20402	0.95777	0.28733	0.01103	-0.28741	0.95779	0.00636	-0.00874	-0.00927	0.99992	
5	0.04000	340.34096	-489.31141	285.55413	0.52636	-0.49379	16.85572	0.22209	0.95700	0.28987	0.01091	-0.28995	0.95702	0.00629	-0.00862	-0.00919	0.99992	
6	0.05000	340.64628	-490.30113	285.54770	0.52799	-0.50648	17.03244	0.20082	0.95610	0.29282	0.01115	-0.29290	0.95612	0.00622	-0.00884	-0.00921	0.99992	
7	0.06000	340.91451	-491.28008	285.50080	0.52721	-0.50608	17.19599	0.22029	0.95526	0.29555	0.01116	-0.29563	0.95528	0.00618	-0.00883	-0.00920	0.99992	
8	0.07000	341.17913	-492.29946	285.44320	0.52984	-0.49281	17.36514	0.19894	0.95439	0.29837	0.01097	-0.29845	0.95441	0.00626	-0.00860	-0.00925	0.99992	
9	0.08000	341.44323	-493.14490	285.40907	0.56204	-0.48117	17.52928	0.16550	0.95353	0.30110	0.01096	-0.30118	0.95354	0.00682	-0.00840	-0.00981	0.99992	
10	0.09000	341.74025	-494.06378	285.37506	0.57115	-0.48717	17.70028	0.16365	0.95263	0.30394	0.01113	-0.30403	0.95264	0.00691	-0.00850	-0.00997	0.99991	
11	0.10000	342.05850	-495.03388	285.40775	0.56176	-0.47401	17.86877	0.18334	0.95173	0.30675	0.01088	-0.30683	0.95174	0.00679	-0.00827	-0.00980	0.99992	
12	0.11000	342.36856	-495.96762	285.41513	0.56468	-0.47062	18.03303	0.17827	0.95085	0.30947	0.01086	-0.30955	0.95086	0.00683	-0.00821	-0.00986	0.99992	
13	0.12000	342.69192	-496.88230	285.38993	0.56813	-0.47520	18.20301	0.15783	0.94992	0.31229	0.01098	-0.31237	0.94993	0.00683	-0.00829	-0.00992	0.99992	
14	0.13000	343.02895	-497.82085	285.38459	0.56159	-0.46711	18.37966	0.16706	0.94896	0.31522	0.01083	-0.31530	0.94897	0.00673	-0.00815	-0.00980	0.99992	
15	0.14000	343.39388	-498.77346	285.36821	0.56727	-0.47579	18.55358	0.16037	0.94799	0.31810	0.01102	-0.31818	0.94801	0.00674	-0.00830	-0.00990	0.99992	
16	0.15000	343.69620	-499.70371	285.40877	0.57560	-0.47142	18.71854	0.17687	0.94707	0.32082	0.01102	-0.32091	0.94709	0.00687	-0.00823	-0.01005	0.99992	
17	0.16000	343.99651	-500.60731	285.37435	0.57763	-0.47805	18.88371	0.16242	0.94614	0.32355	0.01116	-0.32364	0.94616	0.00684	-0.00834	-0.01008	0.99991	
18	0.17000	344.33059	-501.54023	285.36788	0.58048	-0.47663	19.05822	0.14539	0.94515	0.32643	0.01117	-0.32652	0.94517	0.00686	-0.00832	-0.01013	0.99991	
